ThÃ¨me;CatÃ©gorie;Mot francais;Synonyme francais;Description;Traduction;TradEG;TradD;TradA;TradH;TradAv;TradP;TradX
Nature;Autres Plantes Cultivées;Froment Dété;Blé Fin;;Houbeloun Houbloun Oubloun Ou Barbouto éubloun Tantaravéu Vigno Déu Nord;;;;;Houbloun;Houbeloun;Barbouto éubloun Tantaravéu
Nature;Autres Plantes Cultivées;Froment Rouge;Blé;;Luserno Aussi Lente Luzerno Lente Lentoun;;;Lente Luzerno;;;;
Nature;Autres Plantes Cultivées;Gros Froment;;;Lénte Lénti Lénto;;;;;;;Lénto
Nature;Autres Plantes Cultivées;Gruau DAvoine;;;Erbo De La Rodo;;;;;;;Rodo
Nature;Autres Plantes Cultivées;Houblon;;;Ourgoun;;;;;;;Ourgoun
Nature;Autres Plantes Cultivées;Luzerne;;;Poumoule Pour Nourriture Des Animaux;;;;;;;
Nature;Autres Plantes Cultivées;Luzerne Jaune;;;Ourdiado;;;;;;;Ourdiado
Nature;Autres Plantes Cultivées;Luzerne Orbiculaire;;;Barjelado Ou Barjoulado;;;Barjoulado;;;;
Nature;Autres Plantes Cultivées;Mélange De Blé Et DOrge;;;Mesclo Mélange De Foin Et De Blé Ou De Plusieurs Sortes De Blés Ou Forment Et Seigle Councegau Gros;;;Blés Seigle Consegau;;Conseigle;;
Nature;Autres Plantes Cultivées;Mélange Entre LOrge Et Le Seigle;;;Counsegau Mitaden Mitadié;;;;;;;Mitaden Mitadié
Nature;Autres Plantes Cultivées;Mélange Orge Et Avoine;;;LOrdi Ou Hordi Houerdi érdi;;;Hordi Houerdi;;LOrdi;;érdi
Nature;Autres Plantes Cultivées;Mélange Orge Seigle Et Avoine;;;Sauto Roubin;;;;;;;Roubin
Nature;Autres Plantes Cultivées;Méteil;;;Aigreto Aigretto Eigreto Eigretto Herbetto Acetouso Agradello Erbo Déu Biéu Eigreto Fero;;;Aigretto;;Eigretto Herbetto;Eigreto;Fero
Nature;Autres Plantes Cultivées;Méteil;;;Escourgeon Pasquié;;;;;Pasquié;;
Nature;Autres Plantes Cultivées;Orge;;;Lenti;;;Lenti;;;;
Nature;Autres Plantes Cultivées;Orge Des Souris;;;Paumoulo Ou Hourdeat Orge De Printemps Cultivée En Montagne Voir Ci Dessus Poumoule En Franéais Orge;;;Orgeat;;Barbe;;Paumoulo
Nature;Autres Plantes Cultivées;Oseille;;;Safran Nadiho;;;Safran;;;;Nadiho
Nature;Autres Plantes Cultivées;Pasquie;Fourrage Vert;;Semenciero De Primo;;;;;;;Primo
Nature;Autres Plantes Cultivées;Pastel;;;Safran Fér Safran Batard Ou Safran Bastar;;;Batard;;Fér;Bastar;
